2020-12-08 16:06:51,844 DEBUG  ROS Time: 1607414811 |         Robot Status: []
2020-12-08 16:06:52,256 DEBUG  ROS Time: 1607414812 |         Task Status: []
2020-12-08 16:06:53,782 DEBUG  ROS Time: 1607414813 | tasks num: 0                 active robots: 0
2020-12-08 16:06:53,880 DEBUG  ROS Time: 1607414813 |         Robot Status: []
2020-12-08 16:06:55,788 DEBUG  ROS Time: 1607414815 | tasks num: 0                 active robots: 0
2020-12-08 16:06:55,915 DEBUG  ROS Time: 1607414815 |         Robot Status: []
2020-12-08 16:06:57,286 DEBUG  ROS Time: 1607414817 |         Task Status: []
2020-12-08 16:06:57,791 DEBUG  ROS Time: 1607414817 | tasks num: 0                 active robots: 0
2020-12-08 16:06:57,942 DEBUG  ROS Time: 1607414817 |         Robot Status: []
2020-12-08 16:06:59,796 DEBUG  ROS Time: 1607414819 | tasks num: 0                 active robots: 0
2020-12-08 16:06:59,956 DEBUG  ROS Time: 1607414819 |         Robot Status: []
2020-12-08 16:07:01,801 DEBUG  ROS Time: 1607414821 | tasks num: 0                 active robots: 0
2020-12-08 16:07:01,971 DEBUG  ROS Time: 1607414821 |         Robot Status: []
2020-12-08 16:07:02,313 DEBUG  ROS Time: 1607414822 |         Task Status: []
2020-12-08 16:07:03,806 DEBUG  ROS Time: 1607414823 | tasks num: 0                 active robots: 0
2020-12-08 16:07:04,002 DEBUG  ROS Time: 1607414824 |         Robot Status: []
2020-12-08 16:07:05,814 DEBUG  ROS Time: 1607414825 | tasks num: 0                 active robots: 0
2020-12-08 16:07:06,035 DEBUG  ROS Time: 1607414826 |         Robot Status: []
